species,character,value,name,type
X. milleri,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. montezumae,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. multilineatus,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. nezahualcqyotl,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. nigrensis,character_2,1,Sword consisting exclusively of unbranched rays,sword
X. pygmaeus,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. signum,character_2,0,Sword consisting exclusively of unbranched rays,sword
X. variatus,character_2,NA,Sword consisting exclusively of unbranched rays,sword
X. xiphidium,character_2,0,Sword consisting exclusively of unbranched rays,sword
P. reticulata,character_3,NA,Upturned sword,sword
P. butleri,character_3,NA,Upturned sword,sword
A. hubberi,character_3,NA,Upturned sword,sword
P. coompressa,character_3,NA,Upturned sword,sword
P. intermedia,character_3,NA,Upturned sword,sword
P. olmaceae,character_3,NA,Upturned sword,sword
X. alvarezi,character_3,0,Upturned sword,sword
X. andersi,character_3,0,Upturned sword,sword
X. birchmanni,character_3,NA,Upturned sword,sword
X. clemenciae,character_3,1,Upturned sword,sword
X. continens,character_3,NA,Upturned sword,sword
X. cortezi,character_3,1,Upturned sword,sword
X. couchianus,character_3,NA,Upturned sword,sword
X. evelynae,character_3,NA,Upturned sword,sword
X. gordoni,character_3,NA,Upturned sword,sword
X. helleri,character_3,0,Upturned sword,sword
X. maculatus,character_3,NA,Upturned sword,sword
X. malinche,character_3,1,Upturned sword,sword
X. meyeri,character_3,NA,Upturned sword,sword
X. milleri,character_3,NA,Upturned sword,sword
X. montezumae,character_3,1,Upturned sword,sword
X. multilineatus,character_3,1,Upturned sword,sword
X. nezahualcqyotl,character_3,1,Upturned sword,sword
X. nigrensis,character_3,1,Upturned sword,sword
X. pygmaeus,character_3,NA,Upturned sword,sword
X. signum,character_3,0,Upturned sword,sword
X. variatus,character_3,NA,Upturned sword,sword
X. xiphidium,character_3,0,Upturned sword,sword
P. reticulata,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
P. butleri,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
A. hubberi,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
P. coompressa,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
P. intermedia,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
P. olmaceae,character_4,0,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. alvarezi,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. andersi,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. birchmanni,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. clemenciae,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. continens,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. cortezi,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. couchianus,character_4,4,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. evelynae,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. gordoni,character_4,3,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. helleri,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. maculatus,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. malinche,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. meyeri,character_4,3,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. milleri,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. montezumae,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. multilineatus,character_4,1,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. nezahualcqyotl,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. nigrensis,character_4,1,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. pygmaeus,character_4,1,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. signum,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. variatus,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
X. xiphidium,character_4,2,Distal serrae on ray 4p of the gonopodium.,gonopodium
P. reticulata,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
P. butleri,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
A. hubberi,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
P. coompressa,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
P. intermedia,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
P. olmaceae,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. alvarezi,character_5,2,Well-formedhookonray5aofthegonopodium,gonopodium
X. andersi,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. birchmanni,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. clemenciae,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. continens,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. cortezi,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. couchianus,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. evelynae,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. gordoni,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. helleri,character_5,2,Well-formedhookonray5aofthegonopodium,gonopodium
X. maculatus,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. malinche,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. meyeri,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. milleri,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. montezumae,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. multilineatus,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. nezahualcqyotl,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. nigrensis,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. pygmaeus,character_5,1,Well-formedhookonray5aofthegonopodium,gonopodium
X. signum,character_5,2,Well-formedhookonray5aofthegonopodium,gonopodium
X. variatus,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
X. xiphidium,character_5,0,Well-formedhookonray5aofthegonopodium,gonopodium
P. reticulata,character_6,0,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
P. butleri,character_6,0,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
A. hubberi,character_6,0,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
P. coompressa,character_6,1,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
P. intermedia,character_6,1,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
P. olmaceae,character_6,1,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. alvarezi,character_6,2,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. andersi,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. birchmanni,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. clemenciae,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. continens,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. cortezi,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. couchianus,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. evelynae,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. gordoni,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. helleri,character_6,3,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. maculatus,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. malinche,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. meyeri,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. milleri,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. montezumae,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. multilineatus,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. nezahualcqyotl,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. nigrensis,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. pygmaeus,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. signum,character_6,3,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. variatus,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
X. xiphidium,character_6,4,Granular tissue on the dorsal part of the hook on ray 3 of the gonopodium,gonopodium
P. reticulata,character_7,0,Subdistal spines on ray 3 of the gonopodium,gonopodium
P. butleri,character_7,0,Subdistal spines on ray 3 of the gonopodium,gonopodium
A. hubberi,character_7,1,Subdistal spines on ray 3 of the gonopodium,gonopodium
P. coompressa,character_7,0,Subdistal spines on ray 3 of the gonopodium,gonopodium
P. intermedia,character_7,0,Subdistal spines on ray 3 of the gonopodium,gonopodium
P. olmaceae,character_7,0,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. alvarezi,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. andersi,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. birchmanni,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. clemenciae,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. continens,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. cortezi,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. couchianus,character_7,3,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. evelynae,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. gordoni,character_7,3,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. helleri,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. maculatus,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. malinche,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. meyeri,character_7,3,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. milleri,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. montezumae,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. multilineatus,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. nezahualcqyotl,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. nigrensis,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. pygmaeus,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. signum,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. variatus,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
X. xiphidium,character_7,2,Subdistal spines on ray 3 of the gonopodium,gonopodium
P. reticulata,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
P. butleri,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
A. hubberi,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
P. coompressa,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
P. intermedia,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
P. olmaceae,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. alvarezi,character_8,1,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. andersi,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. birchmanni,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. clemenciae,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. continens,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. cortezi,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. couchianus,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. evelynae,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. gordoni,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. helleri,character_8,2,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. maculatus,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. malinche,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. meyeri,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. milleri,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. montezumae,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. multilineatus,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. nezahualcqyotl,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. nigrensis,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. pygmaeus,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. signum,character_8,2,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. variatus,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
X. xiphidium,character_8,0,Size of segments of the distal ramus of ray 4a of the gonopodium,gonopodium
P. reticulata,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
P. butleri,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
A. hubberi,character_9,0,ubdistal serrae on ray 4p of the gonopodium,gonopodium
P. coompressa,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
P. intermedia,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
P. olmaceae,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. alvarezi,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. andersi,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. birchmanni,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. clemenciae,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. continens,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. cortezi,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. couchianus,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. evelynae,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. gordoni,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. helleri,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. maculatus,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. malinche,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. meyeri,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. milleri,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. montezumae,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. multilineatus,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. nezahualcqyotl,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. nigrensis,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. pygmaeus,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. signum,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. variatus,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
X. xiphidium,character_9,1,ubdistal serrae on ray 4p of the gonopodium,gonopodium
P. reticulata,character_10,NA,Headbump,morphology
P. butleri,character_10,NA,Headbump,morphology
A. hubberi,character_10,NA,Headbump,morphology
P. coompressa,character_10,NA,Headbump,morphology
P. intermedia,character_10,NA,Headbump,morphology
P. olmaceae,character_10,NA,Headbump,morphology
X. alvarezi,character_10,0,Headbump,morphology
X. andersi,character_10,0,Headbump,morphology
X. birchmanni,character_10,1,Headbump,morphology
X. clemenciae,character_10,0,Headbump,morphology
X. continens,character_10,0,Headbump,morphology
X. cortezi,character_10,0,Headbump,morphology
X. couchianus,character_10,0,Headbump,morphology
X. evelynae,character_10,0,Headbump,morphology
X. gordoni,character_10,0,Headbump,morphology
X. helleri,character_10,0,Headbump,morphology
X. maculatus,character_10,0,Headbump,morphology
X. malinche,character_10,1,Headbump,morphology
X. meyeri,character_10,0,Headbump,morphology
X. milleri,character_10,0,Headbump,morphology
X. montezumae,character_10,0,Headbump,morphology
X. multilineatus,character_10,0,Headbump,morphology
X. nezahualcqyotl,character_10,0,Headbump,morphology
X. nigrensis,character_10,0,Headbump,morphology
X. pygmaeus,character_10,0,Headbump,morphology
X. signum,character_10,0,Headbump,morphology
X. variatus,character_10,0,Headbump,morphology
X. xiphidium,character_10,0,Headbump,morphology
P. reticulata,character_11,1,Malepelvicene,morphology
P. butleri,character_11,1,Malepelvicene,morphology
A. hubberi,character_11,0,Malepelvicene,morphology
P. coompressa,character_11,1,Malepelvicene,morphology
P. intermedia,character_11,1,Malepelvicene,morphology
P. olmaceae,character_11,1,Malepelvicene,morphology
X. alvarezi,character_11,1,Malepelvicene,morphology
X. andersi,character_11,1,Malepelvicene,morphology
X. birchmanni,character_11,1,Malepelvicene,morphology
X. clemenciae,character_11,1,Malepelvicene,morphology
X. continens,character_11,1,Malepelvicene,morphology
X. cortezi,character_11,1,Malepelvicene,morphology
X. couchianus,character_11,1,Malepelvicene,morphology
X. evelynae,character_11,1,Malepelvicene,morphology
X. gordoni,character_11,1,Malepelvicene,morphology
X. helleri,character_11,1,Malepelvicene,morphology
X. maculatus,character_11,1,Malepelvicene,morphology
X. malinche,character_11,1,Malepelvicene,morphology
X. meyeri,character_11,1,Malepelvicene,morphology
X. milleri,character_11,1,Malepelvicene,morphology
X. montezumae,character_11,1,Malepelvicene,morphology
X. multilineatus,character_11,1,Malepelvicene,morphology
X. nezahualcqyotl,character_11,1,Malepelvicene,morphology
X. nigrensis,character_11,1,Malepelvicene,morphology
X. pygmaeus,character_11,1,Malepelvicene,morphology
X. signum,character_11,1,Malepelvicene,morphology
X. variatus,character_11,1,Malepelvicene,morphology
X. xiphidium,character_11,1,Malepelvicene,morphology
P. reticulata,character_12,1,Teeth compressed spatulate,morphology
P. butleri,character_12,1,Teeth compressed spatulate,morphology
A. hubberi,character_12,0,Teeth compressed spatulate,morphology
P. coompressa,character_12,1,Teeth compressed spatulate,morphology
P. intermedia,character_12,1,Teeth compressed spatulate,morphology
P. olmaceae,character_12,1,Teeth compressed spatulate,morphology
X. alvarezi,character_12,1,Teeth compressed spatulate,morphology
X. andersi,character_12,1,Teeth compressed spatulate,morphology
X. birchmanni,character_12,1,Teeth compressed spatulate,morphology
X. clemenciae,character_12,1,Teeth compressed spatulate,morphology
X. continens,character_12,1,Teeth compressed spatulate,morphology
X. cortezi,character_12,1,Teeth compressed spatulate,morphology
X. couchianus,character_12,1,Teeth compressed spatulate,morphology
X. evelynae,character_12,1,Teeth compressed spatulate,morphology
X. gordoni,character_12,1,Teeth compressed spatulate,morphology
X. helleri,character_12,1,Teeth compressed spatulate,morphology
X. maculatus,character_12,1,Teeth compressed spatulate,morphology
X. malinche,character_12,1,Teeth compressed spatulate,morphology
X. meyeri,character_12,1,Teeth compressed spatulate,morphology
X. milleri,character_12,1,Teeth compressed spatulate,morphology
X. montezumae,character_12,1,Teeth compressed spatulate,morphology
X. multilineatus,character_12,1,Teeth compressed spatulate,morphology
X. nezahualcqyotl,character_12,1,Teeth compressed spatulate,morphology
X. nigrensis,character_12,1,Teeth compressed spatulate,morphology
X. pygmaeus,character_12,1,Teeth compressed spatulate,morphology
X. signum,character_12,1,Teeth compressed spatulate,morphology
X. variatus,character_12,1,Teeth compressed spatulate,morphology
X. xiphidium,character_12,1,Teeth compressed spatulate,morphology
P. reticulata,character_13,NA,Elongateventralcaudale_nrays.,morphology
P. butleri,character_13,NA,Elongateventralcaudale_nrays.,morphology
A. hubberi,character_13,NA,Elongateventralcaudale_nrays.,morphology
P. coompressa,character_13,NA,Elongateventralcaudale_nrays.,morphology
P. intermedia,character_13,NA,Elongateventralcaudale_nrays.,morphology
P. olmaceae,character_13,NA,Elongateventralcaudale_nrays.,morphology
X. alvarezi,character_13,1,Elongateventralcaudale_nrays.,morphology
X. andersi,character_13,1,Elongateventralcaudale_nrays.,morphology
X. birchmanni,character_13,1,Elongateventralcaudale_nrays.,morphology
X. clemenciae,character_13,1,Elongateventralcaudale_nrays.,morphology
X. continens,character_13,1,Elongateventralcaudale_nrays.,morphology
X. cortezi,character_13,1,Elongateventralcaudale_nrays.,morphology
X. couchianus,character_13,0,Elongateventralcaudale_nrays.,morphology
X. evelynae,character_13,1,Elongateventralcaudale_nrays.,morphology
X. gordoni,character_13,0,Elongateventralcaudale_nrays.,morphology
X. helleri,character_13,1,Elongateventralcaudale_nrays.,morphology
X. maculatus,character_13,1,Elongateventralcaudale_nrays.,morphology
X. malinche,character_13,1,Elongateventralcaudale_nrays.,morphology
X. meyeri,character_13,0,Elongateventralcaudale_nrays.,morphology
X. milleri,character_13,1,Elongateventralcaudale_nrays.,morphology
X. montezumae,character_13,1,Elongateventralcaudale_nrays.,morphology
X. multilineatus,character_13,1,Elongateventralcaudale_nrays.,morphology
X. nezahualcqyotl,character_13,1,Elongateventralcaudale_nrays.,morphology
X. nigrensis,character_13,1,Elongateventralcaudale_nrays.,morphology
X. pygmaeus,character_13,1,Elongateventralcaudale_nrays.,morphology
X. signum,character_13,1,Elongateventralcaudale_nrays.,morphology
X. variatus,character_13,1,Elongateventralcaudale_nrays.,morphology
X. xiphidium,character_13,1,Elongateventralcaudale_nrays.,morphology
P. reticulata,character_14,NA,Width of the base of the dorsal e_n,morphology
P. butleri,character_14,NA,Width of the base of the dorsal e_n,morphology
A. hubberi,character_14,NA,Width of the base of the dorsal e_n,morphology
P. coompressa,character_14,NA,Width of the base of the dorsal e_n,morphology
P. intermedia,character_14,NA,Width of the base of the dorsal e_n,morphology
P. olmaceae,character_14,NA,Width of the base of the dorsal e_n,morphology
X. alvarezi,character_14,NA,Width of the base of the dorsal e_n,morphology
X. andersi,character_14,NA,Width of the base of the dorsal e_n,morphology
X. birchmanni,character_14,NA,Width of the base of the dorsal e_n,morphology
X. clemenciae,character_14,NA,Width of the base of the dorsal e_n,morphology
X. continens,character_14,NA,Width of the base of the dorsal e_n,morphology
X. cortezi,character_14,NA,Width of the base of the dorsal e_n,morphology
X. couchianus,character_14,NA,Width of the base of the dorsal e_n,morphology
X. evelynae,character_14,1,Width of the base of the dorsal e_n,morphology
X. gordoni,character_14,NA,Width of the base of the dorsal e_n,morphology
X. helleri,character_14,7,Width of the base of the dorsal e_n,morphology
X. maculatus,character_14,2,Width of the base of the dorsal e_n,morphology
X. malinche,character_14,NA,Width of the base of the dorsal e_n,morphology
X. meyeri,character_14,NA,Width of the base of the dorsal e_n,morphology
X. milleri,character_14,2,Width of the base of the dorsal e_n,morphology
X. montezumae,character_14,NA,Width of the base of the dorsal e_n,morphology
X. multilineatus,character_14,NA,Width of the base of the dorsal e_n,morphology
X. nezahualcqyotl,character_14,NA,Width of the base of the dorsal e_n,morphology
X. nigrensis,character_14,NA,Width of the base of the dorsal e_n,morphology
X. pygmaeus,character_14,NA,Width of the base of the dorsal e_n,morphology
X. signum,character_14,NA,Width of the base of the dorsal e_n,morphology
X. variatus,character_14,1,Width of the base of the dorsal e_n,morphology
X. xiphidium,character_14,1,Width of the base of the dorsal e_n,morphology
P. reticulata,character_15,NA,Growthrate,growth
P. butleri,character_15,NA,Growthrate,growth
A. hubberi,character_15,NA,Growthrate,growth
P. coompressa,character_15,NA,Growthrate,growth
P. intermedia,character_15,NA,Growthrate,growth
P. olmaceae,character_15,NA,Growthrate,growth
X. alvarezi,character_15,0,Growthrate,growth
X. andersi,character_15,0,Growthrate,growth
X. birchmanni,character_15,0,Growthrate,growth
X. clemenciae,character_15,0,Growthrate,growth
X. continens,character_15,0,Growthrate,growth
X. cortezi,character_15,0,Growthrate,growth
X. couchianus,character_15,0,Growthrate,growth
X. evelynae,character_15,NA,Growthrate,growth
X. gordoni,character_15,NA,Growthrate,growth
X. helleri,character_15,0,Growthrate,growth
X. maculatus,character_15,0,Growthrate,growth
X. malinche,character_15,0,Growthrate,growth
X. meyeri,character_15,NA,Growthrate,growth
X. milleri,character_15,0,Growthrate,growth
X. montezumae,character_15,0,Growthrate,growth
X. multilineatus,character_15,1,Growthrate,growth
X. nezahualcqyotl,character_15,0,Growthrate,growth
X. nigrensis,character_15,1,Growthrate,growth
X. pygmaeus,character_15,0,Growthrate,growth
X. signum,character_15,NA,Growthrate,growth
X. variatus,character_15,NA,Growthrate,growth
X. xiphidium,character_15,NA,Growthrate,growth
P. reticulata,character_16,NA,Allometric growth of sword.,growth
